old_char,mapped_char
ᇃ,ᆯ
ᇄ,ᆺ
ᇅ,ᆫ
ᇆ,ᆫ
ᇇ,ᆫ
ᇈ,ᆫ
ᇉ,ᆫ
ᇊ,ᆨ
ᇋ,ᆯ
ᇌ,ᆯ
ᇍ,ᆯ
ᇎ,ᆯ
ᇏ,ᆯ
ᇐ,ᆯ
ᇑ,ᆯ
ᇒ,ᆯ
ᇓ,ᆯ
ᇔ,ᆯ
ᇕ,ᆯ
ᇖ,ᆯ
ᇗ,ᆯ
ᇘ,ᆯ
ᇙ,ᆯ
ᇚ,ᆷ
ᇛ,ᆯ
ᇜ,ᆷ
ᇝ,ᆷ
ᇞ,ᆷ
ᇟ,ᆷ
ᇠ,ᆷ
ᇡ,ᆷ
ᇢ,ᆷ
ᇣ,ᆯ
ᇤ,ᆸ
ᇥ,ᆸ
ᇦ,ᆸ
ᇧ,ᆺ
ᇨ,ᆺ
ᇩ,ᆯ
ᇪ,ᆸ
ᇫ,ᆺ
ᇬ,ᆼ
ᇭ,ᆼ
ᇮ,ᆼ
ᇯ,ᆼ
ᇰ,ᆼ
ᇱ,ᆺ
ᇲ,ᆺ
ᇳ,ᆸ
ᇴ,ᇁ
ᇵ,ᆫ
ᇶ,ᆯ
ᇷ,ᆷ
ᇸ,ᆸ
ᇹ,ᇂ
ᇺ,ᆫ
ᇻ,ᆸ
ᇼ,ᆾ
ᇽ,ᆿ
ᇾ,ᇂ
ᇿ,ᆫ
ᅶ,ᅡ
ᅷ,ᅡ
ᅸ,ᅣ
ᅹ,ᅣ
ᅺ,ᅥ
ᅻ,ᅥ
ᅼ,ᅥ
ᅽ,ᅧ
ᅾ,ᅧ
ᅿ,ᅩ
ᆀ,ᅬ
ᆁ,ᅩ
ᆂ,ᅩ
ᆃ,ᅩ
ᆄ,ᅭ
ᆅ,ᅭ
ᆆ,ᅭ
ᆇ,ᅭ
ᆈ,ᅭ
ᆉ,ᅮ
ᆊ,ᅮ
ᆋ,ᅮ
ᆌ,ᅮ
ᆍ,ᅮ
ᆎ,ᅲ
ᆏ,ᅲ
ᆐ,ᅲ
ᆑ,ᅲ
ᆒ,ᅲ
ᆓ,ᅲ
ᆔ,ᅲ
ᆕ,ᅳ
ᆖ,ᅳ
ᆗ,ᅦ
ᆘ,ᅵ
ᆙ,ᅵ
ᆚ,ᅵ
ᆛ,ᅵ
ᆜ,ᅵ
ᆝ,ᅥ
ᆞ,ᅥ
ᆟ,ᅥ
ᆠ,ᅥ
ᆡ,ᅥ
ᆢ,ᅥ
ᆣ,ᅡ
ᆤ,ᅣ
ᆥ,ᅧ
ᆦ,ᅩ
ᆧ,ᅩ
ᄓ,ᄂ
ᄔ,ᄂ
ᄕ,ᄂ
ᄖ,ᄂ
ᄗ,ᄃ
ᄘ,ᄅ
ᄙ,ᄅ
ᄚ,ᄅ
ᄛ,ᄅ
ᄜ,ᄆ
ᄝ,ᄆ
ᄞ,ᄇ
ᄟ,ᄇ
ᄠ,ᄇ
ᄡ,ᄊ
ᄢ,ᄇ
ᄣ,ᄇ
ᄤ,ᄇ
ᄥ,ᄇ
ᄦ,ᄇ
ᄧ,ᄇ
ᄨ,ᄇ
ᄩ,ᄇ
ᄪ,ᄇ
ᄫ,ᄇ
ᄬ,ᄈ
ᄭ,ᄉ
ᄮ,ᄉ
ᄯ,ᄉ
ᄰ,ᄉ
ᄱ,ᄉ
ᄲ,ᄉ
ᄳ,ᄉ
ᄴ,ᄊ
ᄵ,ᄉ
ᄶ,ᄉ
ᄷ,ᄉ
ᄸ,ᄉ
ᄹ,ᄉ
ᄺ,ᄉ
ᄻ,ᄉ
ᄼ,ᄉ
ᄽ,ᄊ
ᄾ,ᄉ
ᄿ,ᄊ
ᅀ,ᄉ
ᅁ,ᄀ
ᅂ,ᄃ
ᅃ,ᄆ
ᅄ,ᄇ
ᅅ,ᄉ
ᅆ,ᄉ
ᅇ,ᄋ
ᅈ,ᄌ
ᅉ,ᄎ
ᅊ,ᄐ
ᅋ,ᄑ
ᅌ,ᄋ
ᅍ,ᄌ
ᅎ,ᄌ
ᅏ,ᄍ
ᅐ,ᄌ
ᅑ,ᄍ
ᅒ,ᄎ
ᅓ,ᄎ
ᅔ,ᄎ
ᅕ,ᄎ
ᅖ,ᄑ
ᅗ,ᄑ
ᅘ,ᄒ
ᅙ,ᄒ
ᅚ,ᄀ
ᅛ,ᄂ
ᅜ,ᄂ
ᅝ,ᄂ
ᅞ,ᄃ
ꥠ,ㄷ
ꥡ,ㄷ
ꥢ,ㅈ
ꥣ,ㅈ
ꥤ,ㄱ
ꥥ,ㄲ
ꥦ,ㄷ
ꥧ,ㄸ
ꥨ,ㅁ
ꥩ,ㅂ
ꥪ,ㅃ
ꥫ,ㅃ
ꥬ,ㅅ
ꥭ,ㅈ
ꥮ,ㅋ
ꥯ,ㅁ
ꥰ,ㅁ
ꥱ,ㅁ
ꥲ,ㅌ
ꥳ,ㅋ
ꥴ,ㅍ
ꥵ,ㅆ
ꥶ,ㄹ
ꥷ,ㅎ
ꥸ,ㅊ
ꥹ,ㅌ
ꥺ,ㅍ
ꥻ,ㅅ
ꥼ,ㅎ
ힰ,ᅯ
ힱ,ᅬ
ힲ,ᅪ
ힳ,ᅫ
ힴ,ᅧ
ힵ,ᅯ
ힶ,ᅴ
ힷ,ᅰ
ힸ,ᅭ
ힹ,ᅥ
ힺ,ᅥ
ힻ,ᅦ
ힼ,ᅩ
ힽ,ᅭ
ힾ,ᅤ
ힿ,ᅧ
ퟀ,ᅨ
쟁,ᅬ
ퟂ,ᅭ
ퟃ,ᅲ
ퟄ,ᅵ
ퟅ,ᅡ
ퟆ,ᅦ
ퟋ,ᆫ
ퟌ,ᆫ
ퟍ,ᆮ
ퟎ,ᆮ
ퟏ,ᆮ
ퟐ,ᆮ
ퟑ,ᆮ
ퟒ,ᆮ
ퟓ,ᆾ
ퟔ,ᇀ
ퟕ,ᆨ
ퟖ,ᆰ
ퟗ,ᆰ
ퟘ,ᆱ
ퟙ,ᆲ
ퟚ,ᆵ
ퟛ,ᆯ
ퟜ,ᆯ
ퟝ,ᆯ
ퟞ,ᆷ
ퟟ,ᆷ
ퟠ,ᆷ
ퟡ,ᆸ
ퟢ,ᆷ
ퟣ,ᆸ
ퟤ,ᆵ
ퟥ,ᆸ
ퟦ,ᆸ
ퟧ,ᆸ
ퟨ,ᆸ
ퟩ,ᇁ
ퟪ,ᆺ
ퟫ,ᆺ
ퟬ,ᆺ
ퟭ,ᆺ
ퟮ,ᆺ
ퟯ,ᆺ
ퟰ,ᆺ
ퟱ,ᆺ
ퟲ,ᆺ
ퟳ,ᆸ
ퟴ,ᆸ
ퟵ,ᆷ
ퟶ,ᆼ
ퟷ,ᆸ
ퟸ,ᆸ
ퟹ,ᆽ
ퟺ,ᇁ
ퟻ,ᇁ
